Data , Shipping time, Source, Destination, Received time, Delay
e513,         250,          10,           0,         911,         661
2d35,         730,          14,          10,        1571,         841
bf72,         390,          15,           2,        2131,        1741
8aba,         830,           1,           5,        3231,        2401
c51d,        3430,           6,           9,        4951,        1521
de75,        3290,           1,           8,        8431,        5141
8622,        6990,           4,           5,        9571,        2581
1bf6,        7110,           8,           6,       11251,        4141
5243,        6830,          14,           7,       13011,        6181
7f8b,        9050,           2,          13,       15231,        6181
f2c9,       11870,           9,           0,       18571,        6701
4b0e,       16430,           5,           3,       23651,        7221
be77,       22570,           2,          13,       29811,        7241
6df8,       25930,           9,          12,       33691,        7761
51db,       27650,          14,           9,       35911,        8261
